date,gross_pnl,execution_pnl,net_pnl
2022-01-03,146.97120158887782,184.2947107288102,184.2947107288102
2022-01-04,-234.44700460829486,-216.06334841628973,-216.06334841628973
2022-01-05,-895.7286432160805,-905.3450099581662,-905.3450099581662
2022-01-06,-249.8349834983498,-256.2838885379839,-256.2838885379839
2022-01-07,-423.2987312572088,-446.3767665061871,-446.3767665061871
2022-01-10,95.53349875930508,78.82790353724181,78.82790353724181
2022-01-11,606.7778375470682,511.80208566795415,511.80208566795415
2022-01-12,-154.49654112221364,-163.37765205091932,-163.37765205091932
2022-01-13,-374.59703417150223,-406.42776289206347,-406.42776289206347
2022-01-14,-0.3703703703704546,4.447356948377875,4.447356948377875
2022-01-17,20.39007092198579,4.9966381458385545,4.9966381458385545
2022-01-18,311.3101903695408,337.0372706060412,337.0372706060412
2022-01-19,106.50406504065036,19.28505286294279,19.28505286294279
2022-01-20,978.8494077834179,956.3885207055142,956.3885207055142
2022-01-21,-307.30478589420653,-311.3855088943384,-311.3855088943384
2022-01-24,1147.091108671789,1090.9417993196976,1090.9417993196976
2022-01-25,-959.9332220367279,-954.0596269140096,-954.0596269140096
2022-01-27,257.70001822489513,226.93194532540963,226.93194532540963
2022-01-28,-423.2501023331969,-453.03618391267423,-453.03618391267423
2022-01-31,214.0468227424749,203.76189742607573,203.76189742607573
2022-02-01,283.17901234567915,276.8655965741714,276.8655965741714
2022-02-02,-532.967032967033,-531.9963982406791,-531.9963982406791
2022-02-03,-115.51155115511551,-99.17078278456634,-99.17078278456634
2022-02-04,36.10619469026544,-22.799527659187955,-22.799527659187955
2022-02-07,-352.8788413987991,-357.9720343533823,-357.9720343533823
2022-02-08,-582.0433436532509,-608.7878854231201,-608.7878854231201
2022-02-09,302.881236823612,320.3913778949297,320.3913778949297
2022-02-10,-500.8330556481173,-524.9437547250585,-524.9437547250585
2022-02-11,1421.0347174948943,1350.046642958582,1350.046642958582
2022-02-14,-286.5090403337969,-363.95534009982094,-363.95534009982094
2022-02-15,107.62331838565005,93.24169024045248,93.24169024045248
2022-02-16,-734.8066298342542,-732.1270523102029,-732.1270523102029
2022-02-17,29.9427564949362,39.882081177257405,39.882081177257405
2022-02-18,-222.84325637910084,-255.45273220607007,-255.45273220607007
2022-02-21,1179.2225662194703,1153.864123096877,1153.864123096877
2022-02-22,272.6546906187625,246.13722828871036,246.13722828871036
2022-02-23,3656.898656898657,3472.480871541117,3472.480871541117
2022-02-24,-523.4221598877981,-539.5345584570942,-539.5345584570942
2022-02-25,-465.72496884088076,-473.7205685840882,-473.7205685840882
2022-02-28,-539.5229186155286,-561.4570095937662,-561.4570095937662
2022-03-02,208.9055347482313,157.51565783531086,157.51565783531086
2022-03-03,517.3563443812513,492.1063996545049,492.1063996545049
2022-03-04,675.3926701570681,709.6852390640307,709.6852390640307
2022-03-07,-176.69683257918555,-209.31772931125244,-209.31772931125244
2022-03-08,-127.61377613776136,-48.21574291556398,-48.21574291556398
2022-03-09,1516.3590604026842,1405.6246709133893,1405.6246709133893
2022-03-10,208.51596743894797,167.03613995489994,167.03613995489994
2022-03-11,52.8120713305899,49.034205746156054,49.034205746156054
2022-03-14,53.86416861826697,20.88635223747503,20.88635223747503
2022-03-15,-720.4458785567615,-741.7921672199018,-741.7921672199018
2022-03-16,841.2362404741745,821.3444479977561,821.3444479977561
2022-03-17,53.73134328358214,-5.053980146735302,-5.053980146735302
2022-03-21,-28.61230329041488,-47.7533243914825,-47.7533243914825
2022-03-22,183.1160769708256,154.01768867115393,154.01768867115393
2022-03-23,222.43436754176622,219.08257357272598,219.08257357272598
2022-03-24,-4.956896551724163,-36.293663878898855,-36.293663878898855
2022-03-25,-123.7684729064039,-76.2794589318088,-76.2794589318088
2022-03-28,53.97390272835109,44.19195536290778,44.19195536290778
2022-03-29,322.6581265012008,317.37611101263565,317.37611101263565
2022-03-30,-40.11065006915618,-62.15621562156211,-62.15621562156211
2022-03-31,129.2813969106783,115.77402996266544,115.77402996266544
2022-04-01,287.89004457652305,227.83080971311452,227.83080971311452
2022-04-04,-53.820870994248125,-72.13519387671721,-72.13519387671721
2022-04-05,487.92270531400976,577.7598577362675,577.7598577362675
2022-04-06,306.5502183406113,396.25786654740693,396.25786654740693
2022-04-07,-148.6784140969162,-123.41198823579188,-123.41198823579188
2022-04-08,-421.5753424657534,-399.3669439307818,-399.3669439307818
2022-04-11,649.3168510084581,653.3251555244019,653.3251555244019
