,datetime,open,high,low,close,volume,oi,strike_price,option_type,expiry
0,2023-11-03 11:27:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
1,2023-11-03 11:29:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
2,2023-11-03 11:30:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
3,2023-11-03 11:38:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
4,2023-11-03 11:44:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
5,2023-11-03 11:47:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
6,2023-11-03 11:53:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
7,2023-11-03 11:56:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
8,2023-11-03 12:01:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
9,2023-11-03 12:02:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
10,2023-11-03 12:06:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
11,2023-11-03 12:16:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
12,2023-11-03 12:27:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
13,2023-11-03 12:33:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
14,2023-11-03 12:38:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
15,2023-11-03 12:40:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
16,2023-11-03 12:41:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
17,2023-11-03 12:51:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
18,2023-11-03 12:53:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
19,2023-11-03 13:00:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
20,2023-11-03 13:09:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
21,2023-11-03 13:18:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
22,2023-11-03 13:22:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
23,2023-11-03 13:23:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
24,2023-11-03 13:41:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
25,2023-11-03 13:46:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
26,2023-11-03 13:47:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
27,2023-11-03 13:50:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
28,2023-11-03 13:56:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
29,2023-11-03 13:57:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
30,2023-11-03 14:03:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
31,2023-11-03 14:12:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
32,2023-11-03 14:18:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
33,2023-11-03 14:25:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
34,2023-11-03 14:26:59,3303.45,3376.2,3303.45,3376.2,200,0,61100,CE,03NOV23
35,2023-11-03 14:29:59,3303.45,3376.2,3303.45,3353.6,800,0,61100,CE,03NOV23
36,2023-11-03 14:30:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
37,2023-11-03 14:31:59,3303.45,3400.95,3303.45,3400.95,1400,60,61100,CE,03NOV23
38,2023-11-03 14:33:59,3303.45,3400.95,3303.45,3400.95,1400,60,61100,CE,03NOV23
39,2023-11-03 14:34:59,3303.45,3400.95,3303.45,3400.95,1400,60,61100,CE,03NOV23
40,2023-11-03 14:35:59,3303.45,3400.95,3303.45,3400.95,1400,60,61100,CE,03NOV23
41,2023-11-03 14:36:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
42,2023-11-03 14:39:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
43,2023-11-03 14:40:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
44,2023-11-03 14:41:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
45,2023-11-03 14:42:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
46,2023-11-03 14:43:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
47,2023-11-03 14:44:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
48,2023-11-03 14:46:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
49,2023-11-03 14:49:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
50,2023-11-03 14:52:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
51,2023-11-03 14:54:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
52,2023-11-03 14:56:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
53,2023-11-03 14:57:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
54,2023-11-03 14:59:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
55,2023-11-03 15:00:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
56,2023-11-03 15:01:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
57,2023-11-03 15:02:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
58,2023-11-03 15:03:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
59,2023-11-03 15:04:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
60,2023-11-03 15:05:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
61,2023-11-03 15:06:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
62,2023-11-03 15:07:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
63,2023-11-03 15:08:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
64,2023-11-03 15:09:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
65,2023-11-03 15:11:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
66,2023-11-03 15:12:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
67,2023-11-03 15:14:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
68,2023-11-03 15:16:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
69,2023-11-03 15:27:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
70,2023-11-03 15:30:59,3303.45,3400.95,3303.45,3400.95,1400,0,61100,CE,03NOV23
71,2023-12-06 14:30:59,8230.05,8230.05,8230.05,8230.05,70,70,61100,CE,08DEC23
72,2023-12-08 12:15:59,8750.0,8750.0,8750.0,8750.0,10,80,61100,CE,08DEC23
73,2023-12-08 12:16:59,8750.0,8750.0,8750.0,8750.0,10,80,61100,CE,08DEC23
74,2023-12-08 12:17:59,8750.0,8750.0,8750.0,8750.0,10,80,61100,CE,08DEC23
75,2023-12-08 12:18:59,8750.0,8750.0,8740.05,8740.05,20,80,61100,CE,08DEC23
76,2023-12-08 12:20:59,8750.0,8750.0,8730.05,8730.05,30,80,61100,CE,08DEC23
77,2023-12-08 12:21:59,8750.0,8750.0,8730.05,8730.05,30,70,61100,CE,08DEC23
78,2023-12-08 12:22:59,8750.0,8750.0,8730.05,8730.05,30,70,61100,CE,08DEC23
79,2023-12-08 12:23:59,8750.0,8750.0,8730.05,8730.05,30,70,61100,CE,08DEC23
80,2023-12-08 12:26:59,8750.0,8750.0,8730.05,8730.05,30,50,61100,CE,08DEC23
81,2023-12-08 12:31:59,8750.0,8750.0,8730.05,8730.05,30,50,61100,CE,08DEC23
82,2023-12-08 12:35:59,8750.0,8750.0,8730.05,8730.05,30,50,61100,CE,08DEC23
83,2023-12-08 12:44:59,8750.0,8750.0,8730.05,8730.05,30,50,61100,CE,08DEC23
84,2023-12-08 12:46:59,8750.0,8750.0,8730.05,8730.05,30,50,61100,CE,08DEC23
85,2023-12-08 12:54:59,8750.0,8750.0,8700.0,8700.0,40,50,61100,CE,08DEC23
86,2023-12-08 12:55:59,8750.0,8750.0,8700.0,8700.0,40,50,61100,CE,08DEC23
87,2023-12-08 13:07:59,8750.0,8750.0,8700.0,8700.0,40,40,61100,CE,08DEC23
88,2023-12-08 13:27:59,8750.0,8750.0,8700.0,8700.0,40,40,61100,CE,08DEC23
89,2023-12-08 13:44:59,8750.0,8750.0,8700.0,8700.0,40,40,61100,CE,08DEC23
90,2023-12-08 14:21:59,8750.0,8750.0,8700.0,8700.0,40,40,61100,CE,08DEC23
91,2023-12-08 14:26:59,8750.0,8750.0,8700.0,8700.0,40,40,61100,CE,08DEC23
92,2023-12-08 14:51:59,8750.0,8750.0,8700.0,8700.0,40,40,61100,CE,08DEC23
93,2023-11-10 10:22:59,3743.5,3743.5,3548.05,3548.05,40,0,61100,CE,10NOV23
94,2023-11-10 10:25:59,3743.5,3743.5,3548.05,3548.05,40,0,61100,CE,10NOV23
95,2023-11-10 10:28:59,3743.5,3743.5,3548.05,3548.05,40,2,61100,CE,10NOV23
96,2023-11-10 10:31:59,3743.5,3743.5,3548.05,3548.05,40,2,61100,CE,10NOV23
97,2023-11-10 10:32:59,3743.5,3743.5,3548.05,3548.05,40,2,61100,CE,10NOV23
98,2023-11-10 10:33:59,3743.5,3743.5,3548.05,3548.05,40,2,61100,CE,10NOV23
99,2023-11-10 10:34:59,3743.5,3743.5,3548.05,3548.05,40,2,61100,CE,10NOV23
