,date,open,high,low,close,Unnamed: 5,Unnamed: 6
0,01-01-2016 09:15,7938.45,7939.25,7927.35,7927.95,,
1,01-01-2016 09:16,7928.65,7929.65,7926.4,7926.45,,
2,01-01-2016 09:17,7926.65,7927.7,7922.95,7923.05,,
3,01-01-2016 09:18,7923.2,7927.2,7923.2,7926.35,,
4,01-01-2016 09:19,7927.0,7927.5,7925.0,7925.05,,
5,01-01-2016 09:20,7925.0,7926.95,7924.95,7925.2,,
6,01-01-2016 09:21,7925.4,7925.55,7909.95,7913.2,,
7,01-01-2016 09:22,7912.4,7916.45,7912.4,7915.0,,
8,01-01-2016 09:23,7915.45,7917.05,7913.75,7916.65,,
9,01-01-2016 09:24,7916.65,7921.5,7916.65,7920.4,,
10,01-01-2016 09:25,7920.55,7923.75,7919.75,7923.75,,
11,01-01-2016 09:26,7923.65,7925.85,7922.55,7925.75,,
12,01-01-2016 09:27,7925.75,7928.1,7925.4,7926.85,,
13,01-01-2016 09:28,7926.65,7926.65,7923.9,7924.75,,
14,01-01-2016 09:29,7924.65,7924.85,7920.65,7921.8,,
15,01-01-2016 09:30,7921.65,7924.1,7920.05,7920.05,,
16,01-01-2016 09:31,7919.9,7921.55,7919.25,7920.15,,
17,01-01-2016 09:32,7919.25,7922.75,7918.3,7922.65,,
18,01-01-2016 09:33,7922.55,7923.05,7921.05,7921.45,,
19,01-01-2016 09:34,7921.5,7927.25,7921.4,7926.7,,
20,01-01-2016 09:35,7926.8,7927.1,7924.2,7925.9,,
21,01-01-2016 09:36,7926.25,7928.6,7926.05,7926.7,,
22,01-01-2016 09:37,7926.55,7926.95,7925.0,7925.6,,
23,01-01-2016 09:38,7926.1,7926.5,7922.65,7923.15,,
24,01-01-2016 09:39,7923.2,7923.3,7921.7,7922.05,,
25,01-01-2016 09:40,7922.2,7923.6,7922.15,7922.7,,
26,01-01-2016 09:41,7922.65,7924.75,7922.65,7924.75,,
27,01-01-2016 09:42,7924.45,7925.3,7923.6,7924.2,,
28,01-01-2016 09:43,7924.35,7925.5,7923.4,7924.6,,
29,01-01-2016 09:44,7924.65,7925.4,7922.7,7923.6,,
30,01-01-2016 09:45,7923.5,7923.9,7922.7,7922.9,,
31,01-01-2016 09:46,7922.85,7924.4,7922.1,7924.4,,
32,01-01-2016 09:47,7924.4,7926.25,7924.35,7924.35,,
33,01-01-2016 09:48,7924.45,7925.8,7924.15,7925.45,,
34,01-01-2016 09:49,7925.35,7925.55,7924.0,7924.45,,
35,01-01-2016 09:50,7924.35,7925.8,7924.05,7925.25,,
36,01-01-2016 09:51,7924.95,7926.5,7924.95,7925.6,,
37,01-01-2016 09:52,7925.55,7927.2,7925.25,7927.2,,
38,01-01-2016 09:53,7927.1,7930.1,7926.5,7930.05,,
39,01-01-2016 09:54,7930.15,7930.85,7929.45,7930.55,,
40,01-01-2016 09:55,7930.65,7932.25,7930.3,7931.45,,
41,01-01-2016 09:56,7931.85,7932.45,7931.0,7931.45,,
42,01-01-2016 09:57,7931.35,7932.8,7930.8,7932.75,,
43,01-01-2016 09:58,7932.8,7933.7,7932.25,7933.4,,
44,01-01-2016 09:59,7933.05,7934.3,7932.85,7933.7,,
45,01-01-2016 10:00,7933.65,7936.0,7933.1,7934.4,,
46,01-01-2016 10:01,7934.15,7935.2,7932.15,7932.95,,
47,01-01-2016 10:02,7933.05,7934.2,7931.8,7932.6,,
48,01-01-2016 10:03,7932.65,7932.95,7929.4,7930.0,,
49,01-01-2016 10:04,7930.15,7931.3,7929.1,7930.0,,
50,01-01-2016 10:05,7930.15,7930.65,7928.55,7929.9,,
51,01-01-2016 10:06,7929.9,7930.25,7928.7,7929.4,,
52,01-01-2016 10:07,7929.5,7931.0,7928.9,7931.0,,
53,01-01-2016 10:08,7930.7,7931.05,7928.85,7929.15,,
54,01-01-2016 10:09,7928.9,7930.6,7928.9,7930.25,,
55,01-01-2016 10:10,7930.6,7931.15,7929.35,7929.65,,
56,01-01-2016 10:11,7929.3,7929.9,7927.9,7929.25,,
57,01-01-2016 10:12,7929.25,7929.85,7928.9,7929.55,,
58,01-01-2016 10:13,7929.05,7929.35,7927.95,7929.3,,
59,01-01-2016 10:14,7929.55,7931.15,7929.2,7931.0,,
60,01-01-2016 10:15,7930.6,7932.95,7930.1,7932.95,,
61,01-01-2016 10:16,7933.3,7936.5,7933.0,7936.1,,
62,01-01-2016 10:17,7935.9,7939.85,7935.6,7939.55,,
63,01-01-2016 10:18,7939.55,7939.6,7937.25,7937.6,,
64,01-01-2016 10:19,7937.6,7938.55,7936.95,7938.25,,
65,01-01-2016 10:20,7938.25,7938.65,7936.65,7937.4,,
66,01-01-2016 10:21,7937.5,7938.3,7936.5,7936.75,,
67,01-01-2016 10:22,7936.7,7939.75,7935.0,7938.3,,
68,01-01-2016 10:23,7938.55,7938.75,7936.95,7938.7,,
69,01-01-2016 10:24,7938.45,7939.2,7937.25,7937.8,,
70,01-01-2016 10:25,7937.55,7938.85,7936.75,7937.4,,
71,01-01-2016 10:26,7937.35,7938.1,7936.95,7937.2,,
72,01-01-2016 10:27,7936.85,7937.45,7934.75,7934.75,,
73,01-01-2016 10:28,7934.7,7934.7,7933.65,7933.65,,
74,01-01-2016 10:29,7933.7,7933.9,7932.55,7933.1,,
75,01-01-2016 10:30,7932.8,7933.85,7932.75,7933.5,,
76,01-01-2016 10:31,7933.5,7934.4,7932.9,7934.1,,
77,01-01-2016 10:32,7934.3,7934.45,7933.35,7934.4,,
78,01-01-2016 10:33,7933.8,7934.75,7932.9,7932.95,,
79,01-01-2016 10:34,7932.95,7934.1,7932.5,7932.65,,
80,01-01-2016 10:35,7932.5,7933.35,7932.3,7932.6,,
81,01-01-2016 10:36,7932.65,7933.3,7932.3,7933.25,,
82,01-01-2016 10:37,7933.1,7934.2,7932.65,7933.5,,
83,01-01-2016 10:38,7933.5,7934.35,7932.75,7934.25,,
84,01-01-2016 10:39,7934.1,7934.4,7932.7,7933.1,,
85,01-01-2016 10:40,7933.15,7934.95,7933.15,7934.4,,
86,01-01-2016 10:41,7934.45,7935.65,7933.75,7935.1,,
87,01-01-2016 10:42,7935.0,7937.35,7935.0,7936.75,,
88,01-01-2016 10:43,7936.8,7937.55,7936.5,7936.8,,
89,01-01-2016 10:44,7936.75,7937.65,7936.65,7937.4,,
90,01-01-2016 10:45,7937.6,7938.3,7937.4,7938.2,,
91,01-01-2016 10:46,7938.15,7938.85,7937.3,7938.0,,
92,01-01-2016 10:47,7938.15,7938.55,7936.7,7937.85,,
93,01-01-2016 10:48,7937.9,7938.9,7937.6,7938.25,,
94,01-01-2016 10:49,7938.2,7939.6,7937.95,7938.05,,
95,01-01-2016 10:50,7938.05,7942.0,7937.85,7940.55,,
96,01-01-2016 10:51,7940.4,7945.15,7940.25,7945.15,,
97,01-01-2016 10:52,7944.75,7944.75,7941.95,7943.55,,
98,01-01-2016 10:53,7943.6,7944.4,7943.05,7944.15,,
99,01-01-2016 10:54,7944.0,7945.25,7943.0,7945.25,,
